FirstSeen,Title,Artist,PeakRank,WeeksOnBoard,ArtistList
2017-09-02,I Could Use A Love Song,Maren Morris,56,20,Maren Morris
2017-08-19,For Her,Chris Lane,92,4,Chris Lane
2017-08-19,They Don't Know,Jason Aldean,67,12,Jason Aldean
2017-08-19,All The Pretty Girls,Kenny Chesney,63,14,Kenny Chesney
2017-08-19,Every Little Thing,Carly Pearce,50,17,Carly Pearce
2017-08-19,Unforgettable,Thomas Rhett,47,20,Thomas Rhett
2017-08-19,When It Rains It Pours,Luke Combs,33,20,Luke Combs
2017-08-12,Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,40,10,Louis Tomlinson;Digital Farm Animals;Bebe Rexha
2017-07-22,Heartache On The Dance Floor,Jon Pardi,47,18,Jon Pardi
2017-07-01,It Ain't My Fault,Brothers Osborne,79,16,Brothers Osborne
2017-07-01,Do I Make You Wanna,Billy Currington,47,19,Billy Currington
